"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","New Jersey Devils","56","32.2833","19","30","7","19","45","0.402","9","67","11.84","7","49","12.50","5","42","10.64","5","5","50.00","4.77","3.04","61.06","4","38","9.52","1","24","4.00","1","4","20.00","100.00","83.33","2","13","13.33","1","11","8.33","1","0","100.00","100.00","100.00","2","25","7.41","0","13","0.00","0","4","0.00","-","69.23","2","27","6.90","2","18","10.00","2","1","66.67","100.00","94.44","100.00","88.10","1.881"
"12","New York Islanders","56","31.6333","32","17","7","28","71","0.634","18","53","25.35","12","38","24.00","4","29","12.12","3","3","50.00","5.45","2.56","68.02","3","31","8.82","0","20","0.00","0","3","0.00","-","85.00","0","11","0.00","0","10","0.00","0","1","0.00","-","90.00","3","20","13.04","0","10","0.00","0","2","0.00","-","80.00","6","19","24.00","3","8","27.27","2","0","100.00","66.67","100.00","75.00","89.66","1.647"
"13","Dallas Stars","56","13.3667","23","19","14","21","60","0.536","8","28","22.22","7","20","25.93","6","15","28.57","5","1","83.33","4.3","1.34","76.21","2","12","14.29","2","9","18.18","2","1","66.67","100.00","88.89","2","4","33.33","2","2","50.00","2","0","100.00","100.00","100.00","0","8","0.00","0","7","0.00","0","1","0.00","-","85.71","3","15","16.67","2","6","25.00","1","0","100.00","50.00","100.00","83.33","93.33","1.767"
"14","Florida Panthers","56","44.8167","37","14","5","36","79","0.705","25","83","23.15","21","61","25.61","12","47","20.34","11","8","57.89","13.78","3.44","80.03","8","37","17.78","6","23","20.69","6","5","54.55","100.00","78.26","5","14","26.32","4","12","25.00","4","3","57.14","100.00","75.00","3","23","11.54","2","11","15.38","2","2","50.00","100.00","81.82","5","44","10.20","1","24","4.00","0","3","0.00","0.00","87.50","91.67","82.98","1.746"
"15","Carolina Hurricanes","56","44.7","36","12","8","32","80","0.714","28","81","25.69","24","59","28.92","16","44","26.67","16","9","64.00","14.25","3.63","79.71","12","41","22.64","7","27","20.59","7","7","50.00","100.00","74.07","4","16","20.00","2","12","14.29","2","3","40.00","100.00","75.00","8","25","24.24","5","15","25.00","5","4","55.56","100.00","73.33","7","37","15.91","3","17","15.00","3","2","60.00","100.00","88.24","100.00","79.55","1.795"
"16","Nashville Predators","56","33.2333","31","23","2","26","64","0.571","15","49","23.44","12","36","25.00","5","31","13.89","3","3","50.00","4.42","3.76","54.04","2","20","9.09","0","14","0.00","0","2","0.00","-","85.71","0","6","0.00","0","6","0.00","0","2","0.00","-","66.67","2","14","12.50","0","8","0.00","0","0","-","-","100.00","4","28","12.50","3","17","15.00","1","1","50.00","33.33","94.12","60.00","90.32","1.503"
"17","San Jose Sharks","56","32.1667","21","28","7","16","49","0.438","23","75","23.47","17","58","22.67","7","41","14.58","7","6","53.85","7.78","4.04","65.84","4","37","9.76","2","20","9.09","2","4","33.33","100.00","80.00","0","19","0.00","0","11","0.00","0","4","0.00","-","63.64","4","18","18.18","2","9","18.18","2","0","100.00","100.00","100.00","5","32","13.51","1","17","5.56","1","2","33.33","100.00","88.24","100.00","85.37","1.854"
"18","Arizona Coyotes","56","31.85","24","26","6","21","54","0.482","15","75","16.67","11","51","17.74","8","39","17.02","8","5","61.54","7.05","3.51","66.80","6","32","15.79","5","16","23.81","5","3","62.50","100.00","81.25","3","16","15.79","3","11","21.43","3","2","60.00","100.00","81.82","3","16","15.79","2","5","28.57","2","1","66.67","100.00","80.00","4","40","9.09","1","23","4.17","1","2","33.33","100.00","91.30","100.00","87.18","1.872"
"19","Vegas Golden Knights","56","34.75","40","14","2","39","82","0.732","25","67","27.17","17","40","29.82","11","28","28.21","9","0","100.00","10","2.11","82.56","8","32","20.00","5","14","26.32","5","0","100.00","100.00","100.00","2","8","20.00","2","4","33.33","2","0","100.00","100.00","100.00","6","24","20.00","3","10","23.08","3","0","100.00","100.00","100.00","4","32","11.11","1","14","6.67","0","0","-","0.00","100.00","81.82","100.00","1.818"
"20","Ottawa Senators","56","30.4833","23","28","5","21","51","0.455","17","58","22.67","12","39","23.53","8","28","22.22","8","4","66.67","7.49","2.47","75.22","5","27","15.63","2","15","11.76","2","4","33.33","100.00","73.33","2","13","13.33","2","9","18.18","2","4","33.33","100.00","55.56","3","14","17.65","0","6","0.00","0","0","-","-","100.00","4","27","12.90","1","12","7.69","1","0","100.00","100.00","100.00","100.00","85.71","1.857"
"21","St Louis Blues","56","30.3833","27","20","9","25","63","0.563","10","77","11.49","10","53","15.87","7","40","14.89","7","6","53.85","5.62","3.22","63.57","4","28","12.50","3","16","15.79","3","5","37.50","100.00","68.75","0","17","0.00","0","10","0.00","0","3","0.00","-","70.00","4","11","26.67","3","6","33.33","3","2","60.00","100.00","66.67","1","46","2.13","1","23","4.17","1","1","50.00","100.00","95.65","100.00","85.00","1.850"
"22","Colorado Avalanche","56","36.45","39","13","4","39","82","0.732","24","68","26.09","15","46","24.59","10","30","25.00","9","4","69.23","9.58","2.32","80.50","9","30","23.08","6","17","26.09","5","4","55.56","83.33","76.47","5","10","33.33","5","7","41.67","4","2","66.67","80.00","71.43","4","20","16.67","1","10","9.09","1","2","33.33","100.00","80.00","3","34","8.11","0","13","0.00","0","0","-","-","100.00","90.00","86.67","1.767"
"23","New York Rangers","56","37.4333","27","23","6","26","60","0.536","18","59","23.38","14","35","28.57","13","23","36.11","13","2","86.67","6.68","3.69","64.39","6","20","23.08","3","7","30.00","3","2","60.00","100.00","71.43","3","9","25.00","3","4","42.86","3","1","75.00","100.00","75.00","3","11","21.43","0","3","0.00","0","1","0.00","-","66.67","4","32","11.11","3","14","17.65","3","0","100.00","100.00","100.00","100.00","91.30","1.913"
"24","Detroit Red Wings","56","31.7833","19","27","10","17","48","0.429","20","48","29.41","19","33","36.54","14","23","37.84","13","3","81.25","12.39","1.82","87.20","9","21","30.00","7","12","36.84","7","3","70.00","100.00","75.00","4","8","33.33","4","6","40.00","4","2","66.67","100.00","66.67","5","13","27.78","3","6","33.33","3","1","75.00","100.00","83.33","7","27","20.59","3","11","21.43","2","0","100.00","66.67","100.00","92.86","86.96","1.798"
"25","Calgary Flames","56","37.7667","26","27","3","25","55","0.491","20","83","19.42","14","61","18.67","6","42","12.50","5","3","62.50","8.58","3.21","72.79","4","38","9.52","2","19","9.52","1","2","33.33","50.00","89.47","0","16","0.00","0","13","0.00","0","2","0.00","-","84.62","4","22","15.38","2","6","25.00","1","0","100.00","50.00","100.00","5","43","10.42","1","23","4.17","1","1","50.00","100.00","95.65","83.33","92.86","1.762"
"26","Anaheim Ducks","56","17.9833","17","30","9","15","43","0.384","8","39","17.02","7","26","21.21","5","22","18.52","5","3","62.50","4.02","1.83","68.73","2","18","10.00","2","12","14.29","2","2","50.00","100.00","83.33","0","9","0.00","0","7","0.00","0","2","0.00","-","71.43","2","9","18.18","2","5","28.57","2","0","100.00","100.00","100.00","2","21","8.70","2","10","16.67","2","1","66.67","100.00","90.00","100.00","86.36","1.864"
"27","Minnesota Wild","56","43.4333","35","16","5","34","75","0.670","19","92","17.12","15","60","20.00","11","39","22.00","11","4","73.33","5.9","3.88","60.28","4","34","10.53","4","16","20.00","4","2","66.67","100.00","87.50","3","15","16.67","3","10","23.08","3","1","75.00","100.00","90.00","1","19","5.00","1","6","14.29","1","1","50.00","100.00","83.33","5","51","8.93","1","22","4.35","1","2","33.33","100.00","90.91","100.00","89.74","1.897"
"28","Los Angeles Kings","56","40.6333","21","28","7","20","49","0.438","17","85","16.67","17","70","19.54","10","52","16.13","9","6","60.00","10.63","3.97","72.78","2","36","5.26","1","24","4.00","1","6","14.29","100.00","75.00","1","17","5.56","1","12","7.69","1","2","33.33","100.00","83.33","1","19","5.00","0","12","0.00","0","4","0.00","-","66.67","1","46","2.13","0","27","0.00","0","0","-","-","100.00","90.00","88.46","1.785"
"29","Columbus Blue Jackets","56","25.4333","18","26","12","15","48","0.429","11","52","17.46","7","33","17.50","5","24","17.24","5","3","62.50","3.75","2.7","58.10","3","24","11.11","1","14","6.67","1","3","25.00","100.00","78.57","1","9","10.00","1","7","12.50","1","2","33.33","100.00","71.43","2","15","11.76","0","7","0.00","0","1","0.00","-","85.71","4","25","13.79","2","10","16.67","2","0","100.00","100.00","100.00","100.00","87.50","1.875"
"30","Winnipeg Jets","56","30.8167","30","23","3","30","63","0.563","14","69","16.87","14","53","20.90","11","39","22.00","10","8","55.56","7.27","4.21","63.32","5","36","12.20","5","25","16.67","5","6","45.45","100.00","76.00","3","25","10.71","3","17","15.00","3","4","42.86","100.00","76.47","2","11","15.38","2","8","20.00","2","2","50.00","100.00","75.00","1","29","3.33","1","12","7.69","0","1","0.00","0.00","91.67","90.91","79.49","1.704"
"31","Buffalo Sabres","56","18.0333","15","34","7","11","37","0.330","12","45","21.05","11","40","21.57","9","30","23.08","8","6","57.14","6.54","2.18","75.02","4","18","18.18","3","11","21.43","2","3","40.00","66.67","72.73","0","7","0.00","0","6","0.00","0","2","0.00","-","66.67","4","11","26.67","3","5","37.50","2","1","66.67","66.67","80.00","1","26","3.70","1","19","5.00","1","3","25.00","100.00","84.21","88.89","80.00","1.689"
