"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","56","37.9667","37","16","3","34","77","0.688","33","74","30.84","25","63","28.41","16","46","25.81","16","5","76.19","15.29","4.97","75.49","11","37","22.92","10","25","28.57","10","4","71.43","100.00","84.00","6","17","26.09","5","14","26.32","5","2","71.43","100.00","85.71","5","20","20.00","5","11","31.25","5","2","71.43","100.00","81.82","9","35","20.45","0","21","0.00","0","1","0.00","-","95.24","100.00","89.13","1.891"
"2","Philadelphia Flyers","56","29.4833","25","23","8","22","58","0.518","16","46","25.81","10","34","22.73","6","21","22.22","6","3","66.67","6.17","2.55","70.72","5","21","19.23","1","6","14.29","1","1","50.00","100.00","83.33","1","8","11.11","0","3","0.00","0","1","0.00","-","66.67","4","13","23.53","1","3","25.00","1","0","100.00","100.00","100.00","3","23","11.54","0","14","0.00","0","2","0.00","-","85.71","100.00","85.71","1.857"
"3","Chicago Blackhawks","56","25.1167","24","25","7","22","55","0.491","12","34","26.09","9","29","23.68","8","21","27.59","7","2","77.78","5.08","1.92","72.53","3","18","14.29","2","11","15.38","2","2","50.00","100.00","81.82","2","10","16.67","2","7","22.22","2","1","66.67","100.00","85.71","1","8","11.11","0","4","0.00","0","1","0.00","-","75.00","3","15","16.67","1","10","9.09","0","0","-","0.00","100.00","87.50","90.48","1.780"
"4","Tampa Bay Lightning","56","42.1333","36","17","3","35","75","0.670","33","68","32.67","28","47","37.33","19","32","37.25","16","4","80.00","16.46","5.25","75.81","10","45","18.18","7","17","29.17","6","4","60.00","85.71","76.47","2","16","11.11","2","11","15.38","2","2","50.00","100.00","81.82","8","29","21.62","5","6","45.45","4","2","66.67","80.00","66.67","11","23","32.35","6","15","28.57","4","0","100.00","66.67","100.00","84.21","87.50","1.717"
"5","Montreal Canadiens","56","26.5833","24","21","11","23","59","0.527","20","57","25.97","11","43","20.37","7","32","17.95","6","4","60.00","6.83","3.33","67.27","9","31","22.50","5","20","20.00","4","4","50.00","80.00","80.00","3","18","14.29","3","15","16.67","2","3","40.00","66.67","80.00","6","13","31.58","2","5","28.57","2","1","66.67","100.00","80.00","4","25","13.79","0","12","0.00","0","0","-","-","100.00","85.71","87.50","1.732"
"6","Toronto Maple Leafs","56","43.75","35","14","7","34","77","0.688","26","87","23.01","20","61","24.69","7","46","13.21","7","6","53.85","10.91","3.32","76.64","10","34","22.73","3","25","10.71","3","6","33.33","100.00","76.00","6","16","27.27","3","14","17.65","3","6","33.33","100.00","57.14","4","18","18.18","0","11","0.00","0","0","-","-","100.00","5","49","9.26","3","20","13.04","3","0","100.00","100.00","100.00","100.00","86.96","1.870"
"7","Edmonton Oilers","56","39.1667","35","19","2","35","72","0.643","22","74","22.92","19","50","27.54","12","36","25.00","11","1","91.67","9.89","3.83","72.06","6","38","13.64","3","20","13.04","3","1","75.00","100.00","95.00","3","16","15.79","2","12","14.29","2","0","100.00","100.00","100.00","3","22","12.00","1","8","11.11","1","1","50.00","100.00","87.50","5","33","13.16","1","14","6.67","1","0","100.00","100.00","100.00","91.67","97.22","1.889"
"8","Vancouver Canucks","56","29.2167","23","29","4","20","50","0.446","12","72","14.29","11","56","16.42","6","36","14.29","6","3","66.67","6.4","3.58","64.15","2","41","4.65","2","21","8.70","2","2","50.00","100.00","90.48","2","17","10.53","2","9","18.18","2","2","50.00","100.00","77.78","0","24","0.00","0","12","0.00","0","0","-","-","100.00","1","30","3.23","0","14","0.00","0","1","0.00","-","92.86","100.00","91.67","1.917"
"9","Washington Capitals","56","50.0167","36","15","5","33","77","0.688","28","81","25.69","20","58","25.64","9","43","17.31","9","6","60.00","11.42","3.27","77.74","4","31","11.43","2","18","10.00","2","5","28.57","100.00","72.22","3","18","14.29","2","12","14.29","2","4","33.33","100.00","66.67","1","13","7.14","0","6","0.00","0","1","0.00","-","83.33","8","45","15.09","1","25","3.85","1","1","50.00","100.00","96.00","100.00","86.05","1.860"
"10","Boston Bruins","56","32.15","33","16","7","29","73","0.652","17","47","26.56","15","37","28.85","11","19","36.67","8","2","80.00","7.14","1.73","80.50","1","25","3.85","1","8","11.11","0","2","0.00","0.00","75.00","0","8","0.00","0","4","0.00","0","1","0.00","-","75.00","1","17","5.56","1","4","20.00","0","1","0.00","0.00","75.00","8","21","27.59","6","10","37.50","5","0","100.00","83.33","100.00","72.73","89.47","1.622"
