"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Pittsburgh Penguins","49","30.0167","30","11","8","28","68","0.694","18","61","22.78","16","48","25.00","14","36","28.00","14","5","73.68","8.46","2.57","76.72","7","34","17.07","7","24","22.58","7","4","63.64","100.00","83.33","6","14","30.00","6","10","37.50","6","2","75.00","100.00","80.00","1","20","4.76","1","14","6.67","1","2","33.33","100.00","85.71","3","24","11.11","0","12","0.00","0","1","0.00","-","91.67","100.00","86.11","1.861"
"2","Seattle Kraken","48","23.0167","16","28","4","15","36","0.375","11","62","15.07","10","39","20.41","10","30","25.00","10","1","90.91","6.99","2.75","71.79","4","25","13.79","4","15","21.05","4","1","80.00","100.00","93.33","2","9","18.18","2","9","18.18","2","0","100.00","100.00","100.00","2","16","11.11","2","6","25.00","2","1","66.67","100.00","83.33","3","34","8.11","2","15","11.76","2","0","100.00","100.00","100.00","100.00","96.67","1.967"
"3","Vegas Golden Knights","48","28.9","28","17","3","24","59","0.615","20","64","23.81","15","43","25.86","7","29","19.44","7","4","63.64","7.06","2.7","72.35","4","27","12.90","3","13","18.75","3","4","42.86","100.00","69.23","3","9","25.00","3","8","27.27","3","2","60.00","100.00","75.00","1","18","5.26","0","5","0.00","0","2","0.00","-","60.00","4","30","11.76","1","14","6.67","1","0","100.00","100.00","100.00","100.00","86.21","1.862"
"4","Montreal Canadiens","48","19.7","8","33","7","7","23","0.240","8","58","12.12","8","40","16.67","8","32","20.00","8","6","57.14","4.57","3.73","55.03","3","32","8.57","3","18","14.29","3","6","33.33","100.00","66.67","2","13","13.33","2","10","16.67","2","6","25.00","100.00","40.00","1","19","5.00","1","8","11.11","1","0","100.00","100.00","100.00","2","25","7.41","2","14","12.50","2","0","100.00","100.00","100.00","100.00","81.25","1.813"
"5","Toronto Maple Leafs","45","24.2833","30","12","3","28","63","0.700","15","56","21.13","10","46","17.86","7","35","16.67","7","2","77.78","5.35","2.98","64.19","5","30","14.29","3","24","11.11","3","1","75.00","100.00","95.83","4","14","22.22","3","10","23.08","3","0","100.00","100.00","100.00","1","16","5.88","0","14","0.00","0","1","0.00","-","92.86","3","24","11.11","0","11","0.00","0","1","0.00","-","90.91","100.00","94.29","1.943"
"6","Washington Capitals","50","29.5333","26","15","9","24","61","0.610","21","82","20.39","18","53","25.35","12","32","27.27","12","4","75.00","10.34","3.51","74.67","5","39","11.36","4","17","19.05","4","3","57.14","100.00","82.35","2","13","13.33","2","7","22.22","2","2","50.00","100.00","71.43","3","26","10.34","2","10","16.67","2","1","66.67","100.00","90.00","2","38","5.00","1","15","6.25","1","1","50.00","100.00","93.33","100.00","87.50","1.875"
"7","Colorado Avalanche","46","37.0167","34","8","4","31","72","0.783","25","105","19.23","17","75","18.48","13","54","19.40","13","5","72.22","9.12","6.05","60.14","7","55","11.29","4","27","12.90","4","5","44.44","100.00","81.48","5","30","14.29","3","17","15.00","3","4","42.86","100.00","76.47","2","25","7.41","1","10","9.09","1","1","50.00","100.00","90.00","6","45","11.76","1","25","3.85","1","0","100.00","100.00","100.00","100.00","90.74","1.907"
"8","Ottawa Senators","45","21.6167","17","24","4","16","38","0.422","10","55","15.38","6","41","12.77","5","28","15.15","3","5","37.50","3.92","3.15","55.45","1","26","3.70","1","18","5.26","0","2","0.00","0.00","88.89","1","12","7.69","1","10","9.09","0","1","0.00","0.00","90.00","0","14","0.00","0","8","0.00","0","1","0.00","-","87.50","3","29","9.38","2","10","16.67","1","3","25.00","50.00","70.00","60.00","82.14","1.421"
"9","Detroit Red Wings","49","22.2","22","21","6","20","50","0.510","11","58","15.94","10","43","18.87","8","34","19.05","8","5","61.54","6.06","3.69","62.18","4","32","11.11","3","20","13.04","3","5","37.50","100.00","75.00","2","20","9.09","2","17","10.53","2","4","33.33","100.00","76.47","2","12","14.29","1","3","25.00","1","1","50.00","100.00","66.67","4","26","13.33","3","14","17.65","3","0","100.00","100.00","100.00","100.00","85.29","1.853"
"10","Florida Panthers","47","30.7333","32","10","5","30","69","0.734","30","68","30.61","21","50","29.58","11","43","20.37","11","3","78.57","12.93","4.16","75.67","13","41","24.07","5","24","17.24","5","3","62.50","100.00","87.50","4","21","16.00","4","18","18.18","4","3","57.14","100.00","83.33","9","20","31.03","1","6","14.29","1","0","100.00","100.00","100.00","10","25","28.57","3","17","15.00","3","0","100.00","100.00","100.00","100.00","93.02","1.930"
"11","Carolina Hurricanes","46","37.2","32","11","3","31","67","0.728","34","64","34.69","19","51","27.14","7","33","17.50","7","1","87.50","10.33","3.58","74.25","10","39","20.41","5","25","16.67","5","1","83.33","100.00","96.00","2","18","10.00","2","14","12.50","2","1","66.67","100.00","92.86","8","21","27.59","3","11","21.43","3","0","100.00","100.00","100.00","10","22","31.25","1","7","12.50","1","0","100.00","100.00","100.00","100.00","96.97","1.970"
"12","Columbus Blue Jackets","46","19.7333","23","22","1","20","47","0.511","17","32","34.69","12","24","33.33","10","18","35.71","10","4","71.43","7.88","1.03","88.47","6","11","35.29","3","6","33.33","3","2","60.00","100.00","66.67","5","4","55.56","3","3","50.00","3","1","75.00","100.00","66.67","1","7","12.50","0","3","0.00","0","1","0.00","-","66.67","6","21","22.22","2","12","14.29","2","2","50.00","100.00","83.33","100.00","77.78","1.778"
"13","Nashville Predators","48","48.2333","28","16","4","27","60","0.625","17","113","13.08","16","74","17.78","8","56","12.50","8","2","80.00","9.51","5.15","64.90","2","53","3.64","2","33","5.71","2","1","66.67","100.00","96.97","2","25","7.41","2","19","9.52","2","0","100.00","100.00","100.00","0","28","0.00","0","14","0.00","0","1","0.00","-","92.86","1","53","1.85","0","22","0.00","0","1","0.00","-","95.45","100.00","96.43","1.964"
