"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"14","Anaheim Ducks","49","32.3333","23","17","9","20","55","0.561","15","80","15.79","14","52","21.21","8","35","18.60","8","3","72.73","7.8","2.62","74.83","5","39","11.36","4","21","16.00","4","2","66.67","100.00","90.48","1","14","6.67","1","9","10.00","1","1","50.00","100.00","88.89","4","25","13.79","3","12","20.00","3","1","75.00","100.00","91.67","3","37","7.50","0","13","0.00","0","1","0.00","-","92.31","100.00","91.43","1.914"
"15","New Jersey Devils","49","22.1833","17","27","5","16","39","0.398","14","40","25.93","13","25","34.21","9","19","32.14","8","3","72.73","8.79","1.59","84.65","4","20","16.67","3","10","23.08","3","3","50.00","100.00","70.00","2","8","20.00","2","7","22.22","2","3","40.00","100.00","57.14","2","12","14.29","1","3","25.00","1","0","100.00","100.00","100.00","2","15","11.76","2","5","28.57","1","0","100.00","50.00","100.00","88.89","84.21","1.731"
"16","Philadelphia Flyers","47","21.0667","15","24","8","15","38","0.404","7","38","15.56","6","27","18.18","4","18","18.18","4","3","57.14","3.09","1.52","67.05","1","17","5.56","1","11","8.33","1","3","25.00","100.00","72.73","1","3","25.00","1","3","25.00","1","1","50.00","100.00","66.67","0","14","0.00","0","8","0.00","0","2","0.00","-","75.00","1","21","4.55","0","7","0.00","0","0","-","-","100.00","100.00","83.33","1.833"
"17","Vancouver Canucks","49","21.65","22","21","6","19","50","0.510","11","52","17.46","11","34","24.44","7","25","21.88","7","3","70.00","7.47","2.11","77.94","5","24","17.24","5","14","26.32","5","2","71.43","100.00","85.71","3","9","25.00","3","8","27.27","3","2","60.00","100.00","75.00","2","15","11.76","2","6","25.00","2","0","100.00","100.00","100.00","1","28","3.45","0","11","0.00","0","1","0.00","-","90.91","100.00","88.00","1.880"
"18","Minnesota Wild","43","24.5667","29","11","3","25","61","0.709","14","57","19.72","14","41","25.45","7","26","21.21","7","2","77.78","7.72","2.34","76.77","3","30","9.09","3","19","13.64","3","1","75.00","100.00","94.74","3","11","21.43","3","10","23.08","3","1","75.00","100.00","90.00","0","19","0.00","0","9","0.00","0","0","-","-","100.00","1","24","4.00","0","7","0.00","0","1","0.00","-","85.71","100.00","92.31","1.923"
"19","Dallas Stars","46","37.5833","25","19","2","23","52","0.565","21","75","21.88","12","53","18.46","8","35","18.60","8","8","50.00","5.91","2.97","66.56","4","39","9.30","0","17","0.00","0","6","0.00","-","64.71","0","12","0.00","0","6","0.00","0","2","0.00","-","66.67","4","27","12.90","0","11","0.00","0","4","0.00","-","63.64","4","31","11.43","1","17","5.56","1","2","33.33","100.00","88.24","100.00","77.14","1.771"
"20","Boston Bruins","46","36.3667","27","16","3","26","57","0.620","11","75","12.79","9","54","14.29","5","39","11.36","5","2","71.43","4.9","3.48","58.50","4","36","10.00","3","19","13.64","3","1","75.00","100.00","94.74","2","13","13.33","2","8","20.00","2","0","100.00","100.00","100.00","2","23","8.00","1","11","8.33","1","1","50.00","100.00","90.91","2","37","5.13","1","20","4.76","1","1","50.00","100.00","95.00","100.00","94.87","1.949"
"21","New York Rangers","47","36.1833","30","13","4","27","64","0.681","16","71","18.39","13","45","22.41","10","33","23.26","10","4","71.43","7.83","2.44","76.24","7","33","17.50","5","14","26.32","5","2","71.43","100.00","85.71","4","12","25.00","4","10","28.57","4","2","66.67","100.00","80.00","3","21","12.50","1","4","20.00","1","0","100.00","100.00","100.00","2","35","5.41","1","18","5.26","1","2","33.33","100.00","88.89","100.00","87.88","1.879"
"22","Chicago Blackhawks","48","20.7833","17","24","7","14","41","0.427","9","63","12.50","7","50","12.28","4","40","9.09","4","5","44.44","4.91","3.17","60.75","3","31","8.82","3","17","15.00","3","3","50.00","100.00","82.35","3","13","18.75","3","9","25.00","3","3","50.00","100.00","66.67","0","18","0.00","0","8","0.00","0","0","-","-","100.00","1","31","3.13","0","22","0.00","0","2","0.00","-","90.91","100.00","87.50","1.875"
"23","St Louis Blues","46","33.8167","27","14","5","25","59","0.641","13","72","15.29","9","47","16.07","7","32","17.95","7","4","63.64","5.59","2.34","70.45","3","32","8.57","3","13","18.75","3","4","42.86","100.00","69.23","2","12","14.29","2","8","20.00","2","3","40.00","100.00","62.50","1","20","4.76","1","5","16.67","1","1","50.00","100.00","80.00","2","35","5.41","1","19","5.00","1","0","100.00","100.00","100.00","100.00","87.50","1.875"
"24","Edmonton Oilers","45","25.0167","24","18","3","21","51","0.567","14","49","22.22","13","38","25.49","10","27","27.03","10","4","71.43","9.73","1.94","83.37","9","28","24.32","8","19","29.63","8","4","66.67","100.00","78.95","7","9","43.75","7","5","58.33","7","1","87.50","100.00","80.00","2","19","9.52","1","14","6.67","1","3","25.00","100.00","78.57","1","18","5.26","1","7","12.50","1","0","100.00","100.00","100.00","100.00","85.19","1.852"
"25","San Jose Sharks","46","24.6667","22","20","4","21","48","0.522","13","49","20.97","10","34","22.73","9","25","26.47","9","3","75.00","6.39","2.08","75.41","4","22","15.38","4","13","23.53","4","3","57.14","100.00","76.92","2","6","25.00","2","4","33.33","2","1","66.67","100.00","75.00","2","16","11.11","2","9","18.18","2","2","50.00","100.00","77.78","3","26","10.34","1","11","8.33","1","0","100.00","100.00","100.00","100.00","88.00","1.880"
"26","Buffalo Sabres","47","21.5833","15","24","8","13","38","0.404","7","56","11.11","7","43","14.00","5","31","13.89","5","1","83.33","4.44","4.47","49.80","0","29","0.00","0","19","0.00","0","1","0.00","-","94.74","0","16","0.00","0","14","0.00","0","1","0.00","-","92.86","0","13","0.00","0","5","0.00","0","0","-","-","100.00","2","24","7.69","2","12","14.29","2","0","100.00","100.00","100.00","100.00","96.77","1.968"
"27","Tampa Bay Lightning","48","28.9","31","11","6","29","68","0.708","13","65","16.67","11","44","20.00","7","32","17.95","7","6","53.85","7.61","3.06","71.33","6","37","13.95","5","16","23.81","5","4","55.56","100.00","75.00","5","12","29.41","5","10","33.33","5","4","55.56","100.00","60.00","1","25","3.85","0","6","0.00","0","0","-","-","100.00","3","27","10.00","1","16","5.88","1","2","33.33","100.00","87.50","100.00","81.25","1.813"
"28","New York Islanders","42","23.9","17","19","6","16","40","0.476","14","38","26.92","12","26","31.58","3","19","13.64","3","1","75.00","4.82","1.98","70.85","3","27","10.00","1","15","6.25","1","0","100.00","100.00","100.00","0","9","0.00","0","7","0.00","0","0","-","-","100.00","3","18","14.29","1","8","11.11","1","0","100.00","100.00","100.00","1","10","9.09","1","4","20.00","1","1","50.00","100.00","75.00","100.00","94.74","1.947"
"29","Los Angeles Kings","47","30.6667","24","16","7","22","55","0.585","16","60","21.05","15","43","25.86","11","33","25.00","11","5","68.75","7.92","3.55","69.03","5","29","14.71","4","20","16.67","4","2","66.67","100.00","90.00","2","16","11.11","2","13","13.33","2","1","66.67","100.00","92.31","3","13","18.75","2","7","22.22","2","1","66.67","100.00","85.71","2","30","6.25","0","13","0.00","0","3","0.00","-","76.92","100.00","84.85","1.848"
"30","Winnipeg Jets","45","27.4333","20","17","8","19","48","0.533","20","56","26.32","18","41","30.51","9","27","25.00","9","2","81.82","9.58","2.54","79.01","3","29","9.38","2","13","13.33","2","2","50.00","100.00","84.62","2","14","12.50","2","8","20.00","2","2","50.00","100.00","75.00","1","15","6.25","0","5","0.00","0","0","-","-","100.00","5","26","16.13","1","13","7.14","1","0","100.00","100.00","100.00","100.00","92.59","1.926"
"31","Calgary Flames","45","16.9","26","13","6","24","58","0.644","13","29","30.95","10","23","30.30","8","14","36.36","8","1","88.89","5.68","1.5","79.06","1","12","7.69","1","4","20.00","1","1","50.00","100.00","75.00","1","7","12.50","1","3","25.00","1","1","50.00","100.00","66.67","0","5","0.00","0","1","0.00","0","0","-","-","100.00","3","15","16.67","2","8","20.00","2","0","100.00","100.00","100.00","100.00","92.86","1.929"
"32","Arizona Coyotes","48","21.4667","12","32","4","11","28","0.292","11","39","22.00","10","29","25.64","4","20","16.67","4","3","57.14","6.6","2","76.75","4","22","15.38","4","13","23.53","4","1","80.00","100.00","92.31","2","10","16.67","2","6","25.00","2","0","100.00","100.00","100.00","2","12","14.29","2","7","22.22","2","1","66.67","100.00","85.71","1","16","5.88","0","7","0.00","0","2","0.00","-","71.43","100.00","85.00","1.850"
