"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"22","Dallas Stars","82","41.3","42","32","8","38","92","0.561","28","91","23.53","21","63","25.00","13","45","22.41","13","5","72.22","11.43","5.21","68.69","7","47","12.96","4","29","12.12","4","4","50.00","100.00","86.21","4","22","15.38","3","14","17.65","3","3","50.00","100.00","78.57","3","25","10.71","1","15","6.25","1","1","50.00","100.00","93.33","5","37","11.90","2","15","11.76","2","1","66.67","100.00","93.33","100.00","88.89","1.889"
"23","Vegas Golden Knights","82","42.05","51","24","7","47","109","0.665","31","100","23.66","26","56","31.71","16","41","28.07","16","6","72.73","14.24","4.07","77.79","9","44","16.98","6","25","19.35","6","4","60.00","100.00","84.00","3","20","13.04","3","15","16.67","3","4","42.86","100.00","73.33","6","24","20.00","3","10","23.08","3","0","100.00","100.00","100.00","9","41","18.00","2","13","13.33","2","2","50.00","100.00","84.62","100.00","85.37","1.854"
"24","Florida Panthers","82","51.1","44","30","8","41","96","0.585","28","116","19.44","20","89","18.35","11","64","14.67","11","7","61.11","12.58","6.62","65.53","10","51","16.39","6","31","16.22","6","6","50.00","100.00","80.65","4","26","13.33","4","18","18.18","4","5","44.44","100.00","72.22","6","25","19.35","2","13","13.33","2","1","66.67","100.00","92.31","11","52","17.46","4","29","12.12","4","1","80.00","100.00","96.55","100.00","89.06","1.891"
"25","New Jersey Devils","82","51.1167","44","29","9","39","97","0.591","16","120","11.76","11","81","11.96","5","57","8.06","5","6","45.45","6.85","5.12","57.23","3","46","6.12","1","26","3.70","1","4","20.00","100.00","84.62","1","20","4.76","1","16","5.88","1","4","20.00","100.00","75.00","2","26","7.14","0","10","0.00","0","0","-","-","100.00","6","61","8.96","1","28","3.45","1","2","33.33","100.00","92.86","100.00","89.47","1.895"
"26","Minnesota Wild","82","51.5667","45","26","11","42","101","0.616","33","117","22.00","28","83","25.23","23","57","28.75","23","8","74.19","12.09","3.8","76.09","7","43","14.00","5","23","17.86","5","7","41.67","100.00","69.57","4","17","19.05","4","16","20.00","4","6","40.00","100.00","62.50","3","26","10.34","1","7","12.50","1","1","50.00","100.00","85.71","6","68","8.11","5","34","12.82","5","1","83.33","100.00","97.06","100.00","85.96","1.860"
"27","Carolina Hurricanes","82","34.1167","36","35","11","33","83","0.506","19","71","21.11","16","53","23.19","9","35","20.45","9","3","75.00","8.32","2.72","75.37","4","28","12.50","2","17","10.53","2","3","40.00","100.00","82.35","3","11","21.43","2","8","20.00","2","3","40.00","100.00","62.50","1","17","5.56","0","9","0.00","0","0","-","-","100.00","7","41","14.58","4","18","18.18","4","0","100.00","100.00","100.00","100.00","91.43","1.914"
"28","St Louis Blues","82","48.1333","44","32","6","41","94","0.573","35","114","23.49","25","76","24.75","14","59","19.18","12","5","70.59","14.25","6.71","68.00","12","64","15.79","7","39","15.22","6","5","54.55","85.71","87.18","3","29","9.38","3","22","12.00","3","4","42.86","100.00","81.82","9","35","20.45","4","17","19.05","3","1","75.00","75.00","94.12","10","40","20.00","3","18","14.29","3","0","100.00","100.00","100.00","85.71","91.53","1.772"
"29","Vancouver Canucks","82","38.0333","31","40","11","31","73","0.445","15","73","17.05","11","51","17.74","8","34","19.05","8","3","72.73","6.23","3.17","66.27","3","43","6.52","3","23","11.54","3","3","50.00","100.00","86.96","2","17","10.53","2","12","14.29","2","2","50.00","100.00","83.33","1","26","3.70","1","11","8.33","1","1","50.00","100.00","90.91","5","28","15.15","4","11","26.67","4","0","100.00","100.00","100.00","100.00","91.18","1.912"
"30","Chicago Blackhawks","82","28.2","33","39","10","32","76","0.463","25","76","24.75","17","59","22.37","11","41","21.15","11","4","73.33","10.34","3.79","73.15","12","35","25.53","5","19","20.83","5","3","62.50","100.00","84.21","2","19","9.52","1","12","7.69","1","2","33.33","100.00","83.33","10","16","38.46","4","7","36.36","4","1","80.00","100.00","85.71","6","35","14.63","2","19","9.52","2","1","66.67","100.00","94.74","100.00","90.24","1.902"
"31","Buffalo Sabres","82","40.25","25","45","12","24","62","0.378","20","111","15.27","17","84","16.83","12","61","16.44","11","10","52.38","8.1","5.92","57.74","5","59","7.81","3","37","7.50","2","8","20.00","66.67","78.38","1","25","3.85","1","19","5.00","0","3","0.00","0.00","84.21","4","34","10.53","2","18","10.00","2","5","28.57","100.00","72.22","4","47","7.84","1","22","4.35","1","2","33.33","100.00","90.91","91.67","83.61","1.753"
