"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"18","Nashville Predators","76","73.3833","43","28","5","41","91","0.599","34","170","16.67","32","113","22.07","17","84","16.83","17","5","77.27","18.96","6.8","73.61","7","75","8.54","7","47","12.96","7","4","63.64","100.00","91.49","4","29","12.12","4","22","15.38","4","1","80.00","100.00","95.45","3","46","6.12","3","25","10.71","3","3","50.00","100.00","88.00","5","86","5.49","2","36","5.26","2","1","66.67","100.00","97.22","100.00","94.05","1.940"
"19","New York Islanders","75","53.4167","35","31","9","33","79","0.527","25","95","20.83","22","65","25.29","10","48","17.24","10","5","66.67","10.27","4.9","67.68","5","69","6.76","2","38","5.00","2","4","33.33","100.00","89.47","1","29","3.33","1","24","4.00","1","4","20.00","100.00","83.33","4","40","9.09","1","14","6.67","1","0","100.00","100.00","100.00","3","23","11.54","2","10","16.67","2","1","66.67","100.00","90.00","100.00","89.58","1.896"
"20","New York Rangers","76","56.7333","49","21","6","45","104","0.684","30","113","20.98","24","71","25.26","15","51","22.73","15","5","75.00","15.4","3.9","79.78","14","50","21.88","7","21","25.00","7","3","70.00","100.00","85.71","6","18","25.00","5","13","27.78","5","2","71.43","100.00","84.62","8","32","20.00","2","8","20.00","2","1","66.67","100.00","87.50","4","57","6.56","2","27","6.90","2","2","50.00","100.00","92.59","100.00","90.20","1.902"
"21","Ottawa Senators","76","36.4","28","41","7","27","63","0.414","23","91","20.18","17","66","20.48","15","48","23.81","13","8","61.90","10.49","5.61","65.16","3","47","6.00","3","31","8.82","2","4","33.33","66.67","87.10","3","20","13.04","3","18","14.29","2","2","50.00","66.67","88.89","0","27","0.00","0","13","0.00","0","2","0.00","-","84.62","6","42","12.50","4","17","19.05","3","4","42.86","75.00","76.47","86.67","83.33","1.700"
"22","Philadelphia Flyers","76","33.7667","23","42","11","22","57","0.375","9","74","10.84","8","53","13.11","5","37","11.90","5","5","50.00","4.34","4.05","51.75","2","32","5.88","2","19","9.52","2","4","33.33","100.00","78.95","1","8","11.11","1","7","12.50","1","2","33.33","100.00","71.43","1","24","4.00","1","12","7.69","1","2","33.33","100.00","83.33","1","40","2.44","0","18","0.00","0","1","0.00","-","94.44","100.00","86.49","1.865"
"23","Pittsburgh Penguins","77","38.65","43","23","11","40","97","0.630","30","78","27.78","23","62","27.06","21","45","31.82","21","6","77.78","13.55","3.44","79.73","12","44","21.43","12","31","27.91","12","5","70.59","100.00","83.87","9","20","31.03","9","14","39.13","9","2","81.82","100.00","85.71","3","24","11.11","3","17","15.00","3","3","50.00","100.00","82.35","6","30","16.67","0","14","0.00","0","1","0.00","-","92.86","100.00","86.67","1.867"
"24","San Jose Sharks","75","33.0333","29","34","12","27","70","0.467","14","75","15.73","11","54","16.92","10","35","22.22","10","5","66.67","7.15","3.36","68.04","5","40","11.11","5","21","19.23","5","5","50.00","100.00","76.19","2","12","14.29","2","7","22.22","2","2","50.00","100.00","71.43","3","28","9.68","3","14","17.65","3","3","50.00","100.00","78.57","3","34","8.11","1","13","7.14","1","0","100.00","100.00","100.00","100.00","85.71","1.857"
"25","Seattle Kraken","75","33.5667","25","44","6","22","56","0.373","17","81","17.35","15","52","22.39","13","38","25.49","13","2","86.67","9.19","3.22","74.03","5","29","14.71","5","17","22.73","5","2","71.43","100.00","88.24","3","11","21.43","3","10","23.08","3","1","75.00","100.00","90.00","2","18","10.00","2","7","22.22","2","1","66.67","100.00","85.71","5","48","9.43","3","21","12.50","3","0","100.00","100.00","100.00","100.00","94.74","1.947"
"26","St Louis Blues","76","50.6667","46","20","10","44","102","0.671","30","111","21.28","25","74","25.25","20","48","29.41","20","6","76.92","16.07","3.92","80.41","11","49","18.33","10","24","29.41","10","6","62.50","100.00","75.00","5","17","22.73","5","11","31.25","5","4","55.56","100.00","63.64","6","32","15.79","5","13","27.78","5","2","71.43","100.00","84.62","5","53","8.62","3","24","11.11","3","0","100.00","100.00","100.00","100.00","87.50","1.875"
"27","Tampa Bay Lightning","75","40.35","46","21","8","44","100","0.667","19","85","18.27","17","58","22.67","10","40","20.00","10","6","62.50","11.11","4.01","73.47","8","49","14.04","7","21","25.00","7","4","63.64","100.00","80.95","6","18","25.00","6","13","31.58","6","4","60.00","100.00","69.23","2","31","6.06","1","8","11.11","1","0","100.00","100.00","100.00","3","35","7.89","1","19","5.00","1","2","33.33","100.00","89.47","100.00","85.00","1.850"
"28","Toronto Maple Leafs","76","50.6167","50","20","6","48","106","0.697","27","110","19.71","19","88","17.76","14","63","18.18","14","4","77.78","11.32","5.61","66.86","10","53","15.87","6","38","13.64","6","3","66.67","100.00","92.11","6","25","19.35","5","17","22.73","5","1","83.33","100.00","94.12","4","28","12.50","1","21","4.55","1","2","33.33","100.00","90.48","5","55","8.33","0","25","0.00","0","1","0.00","-","96.00","100.00","93.65","1.937"
"29","Vancouver Canucks","76","38.8167","38","28","10","35","86","0.566","28","91","23.53","23","67","25.56","15","48","23.81","15","6","71.43","15.21","4.3","77.98","11","46","19.30","9","25","26.47","9","3","75.00","100.00","88.00","4","21","16.00","4","15","21.05","4","2","66.67","100.00","86.67","7","25","21.88","5","10","33.33","5","1","83.33","100.00","90.00","8","44","15.38","3","23","11.54","3","3","50.00","100.00","86.96","100.00","87.50","1.875"
"30","Vegas Golden Knights","77","44.2333","41","31","5","37","87","0.565","35","88","28.46","26","60","30.23","13","45","22.41","13","4","76.47","13.97","3.37","80.56","6","35","14.63","4","18","18.18","4","4","50.00","100.00","77.78","5","11","31.25","4","9","30.77","4","2","66.67","100.00","77.78","1","24","4.00","0","9","0.00","0","2","0.00","-","77.78","7","41","14.58","2","24","7.69","2","0","100.00","100.00","100.00","100.00","91.11","1.911"
"31","Winnipeg Jets","76","45.6167","35","30","11","33","81","0.533","31","94","24.80","26","64","28.89","16","42","27.59","16","5","76.19","13.41","4.7","74.05","9","49","15.52","5","24","17.24","5","5","50.00","100.00","79.17","5","24","17.24","5","15","25.00","5","4","55.56","100.00","73.33","4","25","13.79","0","9","0.00","0","1","0.00","-","88.89","5","43","10.42","1","17","5.56","1","0","100.00","100.00","100.00","100.00","88.10","1.881"
"32","Washington Capitals","76","45.15","43","23","10","38","96","0.632","33","125","20.89","28","79","26.17","20","50","28.57","20","8","71.43","17.45","5.02","77.66","10","56","15.15","8","26","23.53","8","6","57.14","100.00","76.92","5","22","18.52","5","13","27.78","5","5","50.00","100.00","61.54","5","34","12.82","3","13","18.75","3","1","75.00","100.00","92.31","3","58","4.92","1","23","4.17","1","2","33.33","100.00","91.30","100.00","84.00","1.840"
