"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","77","41.4","30","33","14","26","74","0.481","18","101","15.13","16","68","19.05","9","48","15.79","9","6","60.00","9.49","3.16","74.99","7","47","12.96","5","26","16.13","5","3","62.50","100.00","88.46","2","15","11.76","2","10","16.67","2","2","50.00","100.00","80.00","5","32","13.51","3","16","15.79","3","1","75.00","100.00","93.75","4","48","7.69","0","20","0.00","0","3","0.00","-","85.00","100.00","87.50","1.875"
"2","Arizona Coyotes","76","29.3333","22","49","5","21","49","0.322","22","58","27.50","19","44","30.16","10","30","25.00","9","3","75.00","11.17","2.96","79.06","6","31","16.22","5","18","21.74","5","1","83.33","100.00","94.44","3","14","17.65","3","8","27.27","3","0","100.00","100.00","100.00","3","17","15.00","2","10","16.67","2","1","66.67","100.00","90.00","1","25","3.85","0","12","0.00","0","2","0.00","-","83.33","90.00","90.00","1.800"
"3","Boston Bruins","75","53.5667","46","24","5","44","97","0.647","19","104","15.45","16","76","17.39","9","57","13.64","9","5","64.29","9.44","4.48","67.81","7","47","12.96","6","27","18.18","6","2","75.00","100.00","92.59","4","18","18.18","4","12","25.00","4","1","80.00","100.00","91.67","3","29","9.38","2","15","11.76","2","1","66.67","100.00","93.33","5","54","8.47","2","29","6.45","2","3","40.00","100.00","89.66","100.00","91.23","1.912"
"4","Buffalo Sabres","78","39.6333","29","38","11","26","69","0.442","20","93","17.70","19","69","21.59","12","51","19.05","12","2","85.71","10.78","6","64.23","3","42","6.67","2","25","7.41","2","1","66.67","100.00","96.00","2","24","7.69","2","20","9.09","2","1","66.67","100.00","95.00","1","18","5.26","0","5","0.00","0","0","-","-","100.00","5","47","9.62","4","25","13.79","4","1","80.00","100.00","96.00","100.00","96.08","1.961"
"5","Carolina Hurricanes","77","66.3667","49","20","8","48","106","0.688","52","121","30.06","34","96","26.15","16","65","19.75","16","7","69.57","20.54","6.26","76.65","18","68","20.93","11","41","21.15","11","6","64.71","100.00","85.37","8","29","21.62","7","20","25.93","7","3","70.00","100.00","85.00","10","39","20.41","4","21","16.00","4","3","57.14","100.00","85.71","14","50","21.88","1","23","4.17","1","1","50.00","100.00","95.65","100.00","89.23","1.892"
"6","Columbus Blue Jackets","76","43.6","35","35","6","31","76","0.500","28","89","23.93","21","63","25.00","16","47","25.40","16","8","66.67","13.18","3.47","79.15","9","37","19.57","6","20","23.08","6","4","60.00","100.00","80.00","7","19","26.92","5","10","33.33","5","3","62.50","100.00","70.00","2","18","10.00","1","10","9.09","1","1","50.00","100.00","90.00","8","50","13.79","2","27","6.90","2","4","33.33","100.00","85.19","100.00","82.98","1.830"
"7","Calgary Flames","76","37.0833","47","20","9","45","103","0.678","37","59","38.54","30","47","38.96","20","30","40.00","20","1","95.24","16.56","3.13","84.12","8","28","22.22","6","13","31.58","6","1","85.71","100.00","92.31","4","15","21.05","4","7","36.36","4","1","80.00","100.00","85.71","4","13","23.53","2","6","25.00","2","0","100.00","100.00","100.00","10","29","25.64","5","15","25.00","5","0","100.00","100.00","100.00","100.00","96.67","1.967"
"8","Chicago Blackhawks","76","26.5833","25","40","11","20","61","0.401","15","78","16.13","13","60","17.81","8","47","14.55","8","6","57.14","9.28","4.13","69.20","6","40","13.04","5","22","18.52","5","3","62.50","100.00","86.36","5","18","21.74","5","13","27.78","5","3","62.50","100.00","76.92","1","22","4.35","0","9","0.00","0","0","-","-","100.00","2","37","5.13","1","24","4.00","1","3","25.00","100.00","87.50","100.00","87.23","1.872"
"9","Colorado Avalanche","76","64.4667","55","15","6","51","116","0.763","44","179","19.73","28","131","17.61","19","101","15.83","19","10","65.52","17.3","10.21","62.89","13","95","12.04","8","53","13.11","8","8","50.00","100.00","84.91","7","45","13.46","5","30","14.29","5","6","45.45","100.00","80.00","6","50","10.71","3","23","11.54","3","2","60.00","100.00","91.30","11","77","12.50","2","45","4.26","2","2","50.00","100.00","95.56","100.00","90.10","1.901"
"10","Dallas Stars","76","67.7167","43","28","5","39","91","0.599","41","135","23.30","26","97","21.14","12","64","15.79","12","11","52.17","14.7","5.34","73.35","11","74","12.94","1","35","2.78","1","9","10.00","100.00","74.29","2","25","7.41","0","16","0.00","0","4","0.00","-","75.00","9","49","15.52","1","19","5.00","1","5","16.67","100.00","73.68","7","54","11.48","1","26","3.70","1","2","33.33","100.00","92.31","100.00","82.81","1.828"
"11","Detroit Red Wings","76","31.9333","29","37","10","26","68","0.447","16","78","17.02","14","58","19.44","12","46","20.69","12","6","66.67","7.47","4.68","61.48","5","46","9.80","4","27","12.90","4","6","40.00","100.00","77.78","3","28","9.68","3","21","12.50","3","5","37.50","100.00","76.19","2","18","10.00","1","6","14.29","1","1","50.00","100.00","83.33","5","32","13.51","4","19","17.39","4","0","100.00","100.00","100.00","100.00","86.96","1.870"
"12","Edmonton Oilers","76","39.35","44","26","6","40","94","0.618","24","75","24.24","22","56","28.21","18","40","31.03","18","5","78.26","16.77","3.17","84.11","15","41","26.79","14","25","35.90","14","4","77.78","100.00","84.00","12","15","44.44","12","10","54.55","12","1","92.31","100.00","90.00","3","26","10.34","2","15","11.76","2","3","40.00","100.00","80.00","2","31","6.06","2","14","12.50","2","1","66.67","100.00","92.86","100.00","87.50","1.875"
"13","Florida Panthers","75","45.85","54","15","6","51","114","0.760","42","93","31.11","31","65","32.29","19","54","26.03","19","7","73.08","19.47","5.52","77.90","19","55","25.68","10","30","25.00","10","6","62.50","100.00","80.00","8","29","21.62","8","21","27.59","8","5","61.54","100.00","76.19","11","26","29.73","2","9","18.18","2","1","66.67","100.00","88.89","13","36","26.53","4","22","15.38","4","1","80.00","100.00","95.45","100.00","87.04","1.870"
"14","Los Angeles Kings","77","47.5667","40","27","10","36","90","0.584","28","88","24.14","25","61","29.07","17","44","27.87","17","5","77.27","12.55","4.76","72.53","6","40","13.04","5","25","16.67","5","2","71.43","100.00","92.00","3","19","13.64","3","15","16.67","3","1","75.00","100.00","93.33","3","21","12.50","2","10","16.67","2","1","66.67","100.00","90.00","4","46","8.00","1","18","5.26","1","3","25.00","100.00","83.33","100.00","88.64","1.886"
"15","Minnesota Wild","75","46.75","47","21","7","42","101","0.673","28","101","21.71","27","77","25.96","12","55","17.91","12","5","70.59","13.81","4.56","75.19","5","55","8.33","5","36","12.20","5","3","62.50","100.00","91.67","5","21","19.23","5","17","22.73","5","3","62.50","100.00","82.35","0","34","0.00","0","19","0.00","0","0","-","-","100.00","4","40","9.09","2","19","9.52","2","2","50.00","100.00","89.47","100.00","90.91","1.909"
"16","Montreal Canadiens","76","25.1167","20","45","11","17","51","0.336","12","75","13.79","12","56","17.65","11","45","19.64","11","8","57.89","5.91","4.57","56.38","3","40","6.98","3","25","10.71","3","8","27.27","100.00","68.00","2","17","10.53","2","13","13.33","2","7","22.22","100.00","46.15","1","23","4.17","1","12","7.69","1","1","50.00","100.00","91.67","4","34","10.53","4","20","16.67","4","0","100.00","100.00","100.00","100.00","82.22","1.822"
"17","New Jersey Devils","76","29.9167","27","42","7","24","61","0.401","16","66","19.51","15","43","25.86","10","34","22.73","9","8","52.94","9.65","2.9","76.91","4","35","10.26","3","18","14.29","3","7","30.00","100.00","61.11","2","15","11.76","2","12","14.29","2","6","25.00","100.00","50.00","2","20","9.09","1","6","14.29","1","1","50.00","100.00","83.33","2","25","7.41","2","12","14.29","1","1","50.00","50.00","91.67","90.00","76.47","1.665"
