team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2021,PIT,PIT,Team Level,other,80,0.51,0.49,0.5,9851.0,152.35,36.53,10.19,26.05,4.97,76.66,54.6,35.57,36.53,35.57,163.0,46.0,50.0,259.0,43.0,8.0,4.0,27.0,7.0,45.0,79.0,120.0,166.0,8.0,18.0,127.0,32.0,28.0,41.0,114.0,49.0,46.0,5.23,5.79,25.52,7.0,5.0,31.0,259.0,209.0,209.0,18.0,2.92,1.81,1.81,37.65,37.65,36.83,155.83,34.77,11.04,26.29,4.75,79.38,54.77,33.67,34.77,33.67,154.0,57.0,61.0,272.0,31.0,7.0,3.0,29.0,8.0,68.0,68.0,123.0,180.0,9.0,18.0,115.0,37.0,22.0,30.0,105.0,61.0,45.0,4.19,7.59,22.99,4.0,6.0,21.0,272.0,211.0,211.0,11.0,3.24,2.33,2.33,35.69,35.69,34.86
PIT,2021,PIT,PIT,Team Level,all,80,0.54,0.52,0.53,292358.0,2679.81,264.52,189.23,600.88,86.11,1481.95,1081.32,252.76,267.45,255.51,2766.0,938.0,1065.0,4769.0,263.0,219.0,38.0,566.0,87.0,1181.0,1389.0,2503.0,3441.0,238.0,524.0,2293.0,1967.0,621.0,651.0,2696.0,765.0,243.0,81.7,92.88,89.93,77.0,108.0,78.0,4833.83,3704.0,3746.6,315.0,41.58,47.52,48.42,257.68,260.31,254.07,2415.59,228.84,163.66,552.66,79.65,1317.76,984.42,220.04,228.32,219.57,2499.0,828.0,1062.0,4389.0,214.0,199.0,30.0,556.0,84.0,1014.0,1260.0,2285.0,3113.0,275.0,600.0,2209.0,2149.0,601.0,600.0,2462.0,637.0,228.0,70.11,77.47,81.27,67.0,77.0,70.0,4365.78,3327.0,3312.29,310.0,36.02,42.36,42.36,222.51,222.21,217.56
PIT,2021,PIT,PIT,Team Level,5on5,80,0.54,0.52,0.53,241708.0,2130.11,178.36,143.24,497.6,68.07,1179.69,882.03,172.07,181.3,174.84,2191.0,758.0,854.0,3803.0,174.0,160.0,28.0,469.0,63.0,960.0,1124.0,2017.0,2775.0,209.0,466.0,1786.0,1823.0,525.0,504.0,2231.0,577.0,141.0,67.75,70.6,40.0,62.0,83.0,29.0,3867.83,2949.0,2991.6,257.0,29.57,34.09,34.09,173.83,176.45,173.29,1907.93,154.55,124.58,456.57,63.38,1041.92,785.0,150.08,154.04,149.61,1994.0,632.0,874.0,3500.0,151.0,161.0,20.0,470.0,63.0,777.0,1004.0,1843.0,2475.0,241.0,528.0,1742.0,2020.0,509.0,496.0,1995.0,497.0,134.0,56.91,60.38,37.27,57.0,63.0,31.0,3476.78,2626.0,2611.29,276.0,25.69,30.31,30.31,149.95,149.65,147.6
PIT,2021,PIT,PIT,Team Level,4on5,80,0.12,0.13,0.15,19213.0,51.35,4.44,2.7,7.05,1.61,17.13,38.06,4.35,4.44,4.35,61.0,10.0,7.0,78.0,3.0,1.0,0.0,6.0,6.0,10.0,45.0,58.0,68.0,5.0,10.0,148.0,76.0,44.0,34.0,52.0,13.0,6.0,1.28,1.6,1.56,1.0,1.0,1.0,78.0,71.0,71.0,33.0,0.63,0.22,0.22,4.85,4.85,4.77,276.5,32.0,24.4,59.91,9.38,173.84,92.47,28.86,32.0,28.86,271.0,121.0,118.0,510.0,25.0,30.0,7.0,48.0,12.0,152.0,125.0,246.0,367.0,14.0,30.0,184.0,17.0,17.0,53.0,297.0,54.0,41.0,6.88,6.13,18.99,3.0,6.0,16.0,510.0,392.0,392.0,4.0,6.23,9.48,9.48,28.75,28.75,27.04
PIT,2021,PIT,PIT,Team Level,5on4,80,0.86,0.85,0.83,21586.0,346.01,45.19,33.1,70.18,11.46,208.46,106.63,40.76,45.19,40.76,351.0,124.0,154.0,629.0,43.0,50.0,6.0,64.0,11.0,166.0,141.0,308.0,432.0,16.0,30.0,232.0,36.0,24.0,72.0,299.0,126.0,50.0,7.44,14.9,22.86,7.0,19.0,17.0,629.0,475.0,475.0,7.0,8.46,11.39,12.29,41.36,41.36,39.18,75.33,7.51,3.64,9.9,2.14,22.63,52.18,7.43,7.51,7.43,80.0,18.0,9.0,107.0,7.0,1.0,0.0,9.0,1.0,17.0,63.0,73.0,91.0,11.0,24.0,168.0,75.0,53.0,21.0,65.0,25.0,8.0,2.14,3.35,2.02,3.0,2.0,2.0,107.0,98.0,98.0,19.0,0.86,0.24,0.24,8.13,8.13,8.05
BUF,2021,BUF,BUF,Team Level,other,80,0.43,0.48,0.47,8294.0,110.92,23.44,7.88,19.99,3.63,61.65,39.53,20.88,23.44,20.88,112.0,46.0,41.0,199.0,19.0,7.0,0.0,25.0,5.0,59.0,43.0,93.0,139.0,7.0,12.0,100.0,24.0,22.0,21.0,94.0,32.0,32.0,3.03,3.72,16.69,4.0,3.0,12.0,199.0,158.0,158.0,11.0,2.22,2.59,2.59,22.94,22.94,20.68,130.04,30.69,8.74,23.43,4.34,65.54,44.26,29.02,30.69,29.02,133.0,44.0,40.0,217.0,32.0,14.0,1.0,16.0,4.0,59.0,52.0,101.0,145.0,3.0,6.0,116.0,26.0,17.0,21.0,91.0,43.0,43.0,3.73,5.22,21.74,6.0,5.0,21.0,217.0,177.0,177.0,8.0,2.54,4.61,4.61,28.63,28.63,27.75
BUF,2021,BUF,BUF,Team Level,all,80,0.45,0.48,0.47,291143.0,2259.57,205.24,154.82,512.83,73.14,1272.17,932.91,197.19,205.3,197.23,2378.0,803.0,934.0,4115.0,226.0,150.0,33.0,526.0,89.0,917.0,1273.0,2152.0,2955.0,242.0,543.0,1987.0,1217.0,486.0,598.0,2414.0,594.0,173.0,72.22,71.92,61.1,80.0,81.0,65.0,4081.36,3181.0,3169.05,311.0,33.77,30.35,30.35,206.56,206.43,201.0,2526.17,250.46,176.76,565.33,82.7,1415.11,1030.96,240.08,251.62,241.25,2650.0,919.0,890.0,4459.0,280.0,212.0,41.0,520.0,104.0,1088.0,1365.0,2370.0,3289.0,252.0,557.0,2329.0,1489.0,440.0,660.0,2639.0,686.0,244.0,81.46,83.51,85.5,97.0,90.0,93.0,4516.97,3569.0,3598.82,319.0,38.63,49.84,50.29,235.61,237.23,232.18
BUF,2021,BUF,BUF,Team Level,5on5,80,0.45,0.48,0.47,241487.0,1813.95,143.95,119.71,428.09,59.06,1017.01,761.56,139.78,144.0,139.82,1905.0,644.0,788.0,3337.0,156.0,113.0,21.0,434.0,76.0,707.0,1063.0,1749.0,2393.0,213.0,487.0,1560.0,1119.0,422.0,519.0,1973.0,481.0,95.0,59.44,58.76,25.75,62.0,68.0,26.0,3303.36,2549.0,2537.05,282.0,24.59,20.41,20.57,146.61,146.47,144.24,2018.83,172.73,135.78,471.08,65.8,1129.79,838.43,166.32,173.88,167.49,2121.0,730.0,733.0,3584.0,197.0,164.0,29.0,450.0,84.0,843.0,1113.0,1924.0,2654.0,230.0,513.0,1822.0,1389.0,359.0,563.0,2183.0,521.0,147.0,67.32,63.39,42.03,81.0,75.0,41.0,3641.97,2851.0,2880.82,276.0,28.02,36.34,36.79,161.47,163.09,160.21
BUF,2021,BUF,BUF,Team Level,4on5,80,0.11,0.13,0.14,20111.0,54.86,5.05,2.58,7.32,1.61,17.52,40.98,4.93,5.05,4.93,63.0,13.0,8.0,84.0,5.0,4.0,3.0,9.0,2.0,7.0,49.0,58.0,71.0,6.0,12.0,151.0,53.0,36.0,15.0,57.0,14.0,5.0,1.66,1.75,1.63,1.0,2.0,2.0,84.0,76.0,76.0,13.0,0.59,1.11,1.11,4.47,4.47,4.45,311.56,39.87,28.44,61.95,10.32,198.08,102.06,37.87,39.87,37.87,320.0,131.0,110.0,561.0,45.0,28.0,8.0,49.0,15.0,174.0,140.0,275.0,406.0,11.0,22.0,204.0,21.0,10.0,43.0,308.0,99.0,44.0,8.83,12.08,18.95,9.0,9.0,27.0,561.0,451.0,451.0,5.0,7.21,7.36,7.36,39.0,39.0,37.74
BUF,2021,BUF,BUF,Team Level,5on4,80,0.82,0.84,0.82,21251.0,279.84,32.79,24.64,57.43,8.84,175.99,90.84,31.61,32.79,31.61,298.0,100.0,97.0,495.0,46.0,26.0,9.0,58.0,6.0,144.0,118.0,252.0,352.0,16.0,32.0,176.0,21.0,6.0,43.0,290.0,67.0,41.0,8.09,7.68,17.02,13.0,8.0,25.0,495.0,398.0,398.0,5.0,6.36,6.24,6.08,32.55,32.55,31.63,65.74,7.17,3.8,8.87,2.23,21.69,46.22,6.87,7.17,6.87,76.0,14.0,7.0,97.0,6.0,6.0,3.0,5.0,1.0,12.0,60.0,70.0,84.0,8.0,16.0,187.0,53.0,54.0,33.0,57.0,23.0,10.0,1.58,2.82,2.78,1.0,1.0,4.0,97.0,90.0,90.0,30.0,0.86,1.52,1.52,6.52,6.52,6.49
WPG,2021,WPG,WPG,Team Level,other,79,0.47,0.5,0.47,10536.0,141.31,33.07,9.61,25.05,4.8,70.0,52.47,31.94,33.07,31.94,152.0,43.0,76.0,271.0,34.0,10.0,3.0,25.0,5.0,56.0,65.0,118.0,161.0,13.0,26.0,116.0,40.0,25.0,30.0,92.0,60.0,43.0,3.53,7.66,21.88,4.0,9.0,21.0,271.0,195.0,195.0,22.0,2.69,3.07,3.07,32.7,32.7,31.75,158.18,36.65,11.23,27.42,5.06,80.24,56.41,34.72,36.65,34.72,157.0,60.0,56.0,273.0,34.0,13.0,3.0,26.0,3.0,75.0,66.0,123.0,183.0,6.0,12.0,129.0,39.0,35.0,30.0,99.0,61.0,57.0,4.09,7.1,25.46,2.0,7.0,25.0,273.0,217.0,217.0,16.0,3.2,4.64,4.64,35.21,35.21,33.39
WPG,2021,WPG,WPG,Team Level,all,79,0.49,0.5,0.49,287826.0,2498.41,257.07,179.53,559.26,82.05,1402.21,1014.88,247.71,258.0,248.61,2548.0,947.0,1057.0,4552.0,239.0,194.0,31.0,573.0,68.0,1093.0,1328.0,2309.0,3256.0,281.0,634.0,2185.0,1881.0,553.0,821.0,2472.0,768.0,255.0,75.17,95.1,86.8,71.0,89.0,79.0,4581.93,3495.0,3512.46,613.0,39.62,43.75,43.8,252.89,253.77,248.3,2578.21,269.89,184.41,585.96,84.05,1421.34,1029.35,258.12,270.68,258.81,2623.0,952.0,1049.0,4624.0,249.0,217.0,44.0,520.0,73.0,1186.0,1330.0,2374.0,3326.0,288.0,659.0,2123.0,1621.0,548.0,845.0,2512.0,783.0,280.0,75.05,96.61,98.22,62.0,96.0,91.0,4622.37,3575.0,3579.26,593.0,40.84,50.4,50.72,260.02,260.53,253.34
WPG,2021,WPG,WPG,Team Level,5on5,79,0.49,0.49,0.49,234252.0,1931.64,172.14,133.14,451.54,63.17,1094.75,803.27,166.44,173.07,167.34,1967.0,751.0,843.0,3561.0,149.0,143.0,20.0,482.0,49.0,836.0,1059.0,1818.0,2569.0,243.0,554.0,1687.0,1728.0,459.0,686.0,1997.0,574.0,147.0,61.54,71.15,39.45,53.0,64.0,32.0,3590.93,2718.0,2735.46,523.0,27.58,30.18,30.22,169.49,170.37,167.6,2011.12,178.33,137.39,478.8,65.35,1106.32,820.81,171.97,179.12,172.65,2028.0,759.0,869.0,3656.0,159.0,161.0,27.0,437.0,53.0,901.0,1076.0,1869.0,2628.0,257.0,591.0,1613.0,1493.0,441.0,695.0,2023.0,603.0,161.0,59.91,74.85,43.58,54.0,71.0,34.0,3654.37,2787.0,2791.26,500.0,28.48,33.05,33.36,173.45,173.97,171.02
WPG,2021,WPG,WPG,Team Level,4on5,79,0.16,0.14,0.15,20756.0,68.95,9.13,3.85,8.96,2.08,19.83,44.15,8.78,9.13,8.78,73.0,15.0,11.0,99.0,8.0,5.0,0.0,2.0,0.0,18.0,55.0,65.0,80.0,7.0,17.0,165.0,80.0,52.0,65.0,49.0,22.0,17.0,1.7,2.91,4.52,2.0,3.0,3.0,99.0,88.0,88.0,64.0,0.89,1.35,1.35,8.66,8.66,8.58,344.49,47.93,32.04,71.06,11.63,213.31,107.04,44.55,47.93,44.55,361.0,122.0,113.0,596.0,49.0,39.0,12.0,55.0,16.0,193.0,131.0,312.0,434.0,16.0,35.0,201.0,30.0,13.0,43.0,332.0,98.0,53.0,9.21,11.82,26.9,5.0,15.0,29.0,596.0,483.0,483.0,1.0,8.32,12.08,12.08,44.16,44.16,41.78
WPG,2021,WPG,WPG,Team Level,5on4,79,0.86,0.86,0.85,22282.0,356.51,42.73,32.93,73.71,12.0,217.64,114.98,40.56,42.73,40.56,356.0,138.0,127.0,621.0,48.0,36.0,8.0,64.0,14.0,183.0,149.0,308.0,446.0,18.0,37.0,217.0,33.0,17.0,40.0,334.0,112.0,48.0,8.4,13.38,20.94,12.0,13.0,23.0,621.0,494.0,494.0,4.0,8.47,9.16,9.16,42.04,42.04,40.36,64.42,6.99,3.74,8.69,2.01,21.48,45.09,6.89,6.99,6.89,77.0,11.0,11.0,99.0,7.0,4.0,2.0,2.0,1.0,17.0,57.0,70.0,81.0,9.0,21.0,180.0,59.0,59.0,77.0,58.0,21.0,9.0,1.85,2.85,2.29,1.0,3.0,3.0,99.0,88.0,88.0,76.0,0.84,0.64,0.64,7.19,7.19,7.14
VAN,2021,VAN,VAN,Team Level,other,79,0.54,0.54,0.53,9409.0,150.94,36.44,10.34,26.02,5.08,78.1,51.03,32.66,36.44,32.66,162.0,45.0,60.0,267.0,29.0,17.0,6.0,31.0,6.0,67.0,57.0,133.0,178.0,8.0,19.0,115.0,22.0,25.0,17.0,97.0,61.0,49.0,4.14,7.68,24.62,6.0,3.0,20.0,267.0,207.0,207.0,6.0,2.96,6.05,6.05,33.35,33.35,30.8,131.79,30.9,9.02,21.63,4.15,68.96,46.33,28.12,30.9,28.12,134.0,47.0,46.0,227.0,31.0,7.0,2.0,19.0,6.0,65.0,53.0,103.0,150.0,6.0,15.0,111.0,26.0,14.0,13.0,91.0,52.0,38.0,3.76,6.56,20.58,5.0,9.0,17.0,227.0,181.0,181.0,5.0,2.63,2.31,2.31,31.23,31.23,28.48
VAN,2021,VAN,VAN,Team Level,all,79,0.5,0.5,0.5,287661.0,2439.81,240.17,167.88,555.91,81.52,1390.97,1000.56,229.45,240.47,229.76,2526.0,911.0,1154.0,4591.0,236.0,189.0,39.0,576.0,83.0,1059.0,1294.0,2290.0,3201.0,261.0,593.0,2314.0,1851.0,533.0,579.0,2551.0,662.0,224.0,75.7,79.38,85.09,90.0,68.0,78.0,4582.96,3437.0,3436.8,364.0,36.95,45.28,45.5,231.63,231.76,225.38,2433.08,241.59,169.7,552.42,80.67,1372.47,997.13,232.03,242.88,233.3,2512.0,902.0,1135.0,4549.0,225.0,189.0,33.0,610.0,93.0,1077.0,1220.0,2287.0,3189.0,285.0,619.0,2161.0,1815.0,493.0,598.0,2474.0,714.0,226.0,73.34,86.0,82.25,71.0,82.0,72.0,4576.98,3414.0,3430.62,353.0,37.38,42.06,42.18,236.79,237.82,231.0
VAN,2021,VAN,VAN,Team Level,5on5,79,0.49,0.5,0.5,235475.0,1909.01,154.1,125.39,454.74,63.48,1089.87,803.41,149.54,154.41,149.86,1966.0,725.0,915.0,3606.0,150.0,141.0,24.0,483.0,58.0,815.0,1044.0,1816.0,2541.0,237.0,542.0,1793.0,1742.0,433.0,490.0,2083.0,487.0,121.0,61.74,58.2,34.18,70.0,52.0,28.0,3597.96,2691.0,2690.8,328.0,25.75,29.36,29.59,150.27,150.4,148.2,1913.42,159.44,128.46,455.29,63.89,1084.02,805.89,154.98,160.74,156.25,1979.0,718.0,942.0,3639.0,138.0,136.0,19.0,508.0,66.0,843.0,1006.0,1841.0,2559.0,259.0,564.0,1667.0,1707.0,418.0,523.0,2027.0,547.0,123.0,60.09,65.79,33.56,58.0,59.0,21.0,3666.98,2697.0,2713.62,324.0,26.51,27.69,27.81,158.16,159.18,156.73
VAN,2021,VAN,VAN,Team Level,4on5,79,0.1,0.12,0.13,20535.0,52.25,5.19,2.74,7.02,1.57,16.95,37.52,5.05,5.19,5.05,57.0,14.0,10.0,81.0,3.0,2.0,0.0,4.0,0.0,13.0,49.0,54.0,68.0,10.0,20.0,175.0,69.0,56.0,26.0,51.0,14.0,6.0,1.36,2.06,1.77,1.0,1.0,1.0,81.0,71.0,71.0,25.0,0.63,0.68,0.68,5.14,5.14,5.1,330.54,45.47,29.31,67.77,10.91,200.68,104.86,43.21,45.47,43.21,330.0,129.0,140.0,599.0,50.0,45.0,12.0,76.0,20.0,154.0,114.0,280.0,409.0,15.0,30.0,213.0,20.0,19.0,40.0,303.0,101.0,55.0,8.05,11.95,25.47,7.0,12.0,31.0,599.0,459.0,459.0,6.0,7.57,11.91,11.91,41.13,41.13,39.54
VAN,2021,VAN,VAN,Team Level,5on4,79,0.89,0.88,0.86,22242.0,327.61,44.44,29.4,68.13,11.39,206.05,108.6,42.19,44.44,42.19,341.0,127.0,169.0,637.0,54.0,29.0,9.0,58.0,19.0,164.0,144.0,287.0,414.0,6.0,12.0,231.0,18.0,19.0,46.0,320.0,100.0,48.0,8.47,11.45,24.52,13.0,12.0,29.0,637.0,468.0,468.0,5.0,7.62,9.18,9.18,42.87,42.87,41.28,57.33,5.77,2.92,7.73,1.73,18.8,40.05,5.72,5.77,5.72,69.0,8.0,7.0,84.0,6.0,1.0,0.0,7.0,1.0,15.0,47.0,63.0,71.0,5.0,10.0,170.0,62.0,42.0,22.0,53.0,14.0,10.0,1.43,1.7,2.63,1.0,2.0,3.0,84.0,77.0,77.0,18.0,0.67,0.16,0.16,6.28,6.28,6.25
TOR,2021,TOR,TOR,Team Level,other,80,0.54,0.5,0.5,10413.0,151.02,34.75,11.14,25.74,4.85,75.61,51.89,32.41,34.75,32.41,146.0,58.0,48.0,252.0,33.0,14.0,6.0,18.0,2.0,68.0,69.0,113.0,171.0,4.0,8.0,127.0,24.0,26.0,32.0,88.0,66.0,50.0,4.03,8.39,22.33,5.0,5.0,23.0,252.0,204.0,204.0,20.0,3.23,4.4,4.4,33.58,33.58,32.01,148.79,29.92,11.17,26.44,4.76,80.9,50.8,27.47,29.92,27.47,156.0,48.0,53.0,257.0,26.0,13.0,1.0,31.0,3.0,74.0,57.0,130.0,178.0,5.0,10.0,110.0,56.0,24.0,27.0,109.0,57.0,38.0,4.62,7.04,18.27,4.0,8.0,14.0,257.0,204.0,204.0,16.0,3.25,4.51,4.61,28.57,28.57,27.23
TOR,2021,TOR,TOR,Team Level,all,80,0.56,0.54,0.54,290910.0,2779.79,287.78,202.57,613.93,89.77,1527.65,1095.31,275.01,290.41,277.53,2772.0,1045.0,1162.0,4979.0,304.0,204.0,41.0,604.0,93.0,1227.0,1385.0,2468.0,3513.0,268.0,582.0,2586.0,1693.0,713.0,845.0,2639.0,892.0,286.0,80.57,109.24,97.97,104.0,99.0,101.0,5049.37,3817.0,3861.06,509.0,44.88,47.84,47.84,284.82,287.31,279.72,2397.61,226.06,167.84,544.46,77.72,1326.06,973.85,217.16,225.44,216.55,2466.0,850.0,954.0,4270.0,250.0,169.0,37.0,620.0,87.0,981.0,1209.0,2216.0,3066.0,278.0,592.0,2102.0,2240.0,661.0,891.0,2408.0,704.0,204.0,72.43,84.89,68.74,77.0,98.0,75.0,4220.24,3316.0,3286.06,573.0,37.05,38.49,38.49,224.61,223.67,219.22
TOR,2021,TOR,TOR,Team Level,5on5,80,0.55,0.53,0.53,239067.0,2181.04,198.15,152.12,504.64,70.46,1203.35,870.28,191.1,200.79,193.62,2180.0,819.0,982.0,3981.0,203.0,148.0,24.0,503.0,67.0,963.0,1115.0,1977.0,2796.0,241.0,528.0,2054.0,1572.0,609.0,714.0,2137.0,699.0,163.0,67.32,85.76,45.07,87.0,73.0,43.0,4051.37,2999.0,3043.06,431.0,31.63,33.12,33.12,196.66,199.14,195.46,1918.87,162.27,128.49,449.9,62.1,1059.43,794.83,157.06,161.65,156.46,1956.0,701.0,807.0,3464.0,181.0,121.0,31.0,514.0,70.0,784.0,987.0,1775.0,2476.0,248.0,532.0,1603.0,2092.0,564.0,745.0,1981.0,545.0,131.0,59.73,65.16,37.36,62.0,74.0,45.0,3414.24,2657.0,2627.07,506.0,26.62,27.21,27.11,161.77,160.83,158.51
TOR,2021,TOR,TOR,Team Level,4on5,80,0.27,0.22,0.24,21565.0,91.73,10.45,5.08,12.37,2.79,28.12,62.21,10.29,10.45,10.29,93.0,28.0,12.0,133.0,12.0,3.0,0.0,8.0,2.0,17.0,79.0,81.0,109.0,4.0,8.0,181.0,69.0,66.0,57.0,74.0,32.0,15.0,2.27,4.03,4.15,3.0,4.0,5.0,133.0,121.0,121.0,54.0,1.16,0.78,0.78,10.83,10.83,10.72,272.42,28.36,25.14,59.4,8.87,167.47,87.75,27.38,28.36,27.38,286.0,91.0,84.0,461.0,40.0,31.0,5.0,68.0,14.0,107.0,117.0,246.0,337.0,12.0,24.0,222.0,43.0,26.0,71.0,262.0,87.0,28.0,6.28,10.82,11.27,9.0,16.0,15.0,461.0,377.0,377.0,7.0,6.48,5.7,5.7,29.14,29.14,28.46
TOR,2021,TOR,TOR,Team Level,5on4,80,0.89,0.87,0.86,19865.0,356.0,44.42,34.24,71.19,11.67,220.56,110.92,41.21,44.42,41.21,353.0,140.0,120.0,613.0,56.0,39.0,11.0,75.0,22.0,179.0,122.0,297.0,437.0,19.0,38.0,224.0,28.0,12.0,42.0,340.0,95.0,58.0,6.95,11.06,26.42,9.0,17.0,30.0,613.0,493.0,493.0,4.0,8.87,9.55,9.55,43.75,43.75,41.52,57.53,5.5,3.05,8.73,1.99,18.26,40.47,5.24,5.5,5.24,68.0,10.0,10.0,88.0,3.0,4.0,0.0,7.0,0.0,16.0,48.0,65.0,75.0,13.0,26.0,167.0,49.0,47.0,48.0,56.0,15.0,7.0,1.79,1.87,1.85,2.0,0.0,1.0,88.0,78.0,78.0,44.0,0.7,1.07,1.07,5.13,5.13,5.02
NSH,2021,NSH,NSH,Team Level,other,79,0.46,0.42,0.43,12841.0,143.71,32.93,10.36,25.27,5.19,79.93,50.31,32.09,32.93,32.09,141.0,63.0,54.0,258.0,34.0,6.0,0.0,30.0,8.0,75.0,51.0,107.0,170.0,7.0,14.0,157.0,41.0,23.0,36.0,106.0,60.0,38.0,4.09,7.21,21.63,7.0,11.0,16.0,258.0,204.0,204.0,15.0,2.92,2.07,2.07,33.78,33.78,33.02,189.97,38.59,14.32,32.89,6.57,112.35,61.27,35.8,38.59,35.8,194.0,72.0,95.0,361.0,33.0,12.0,1.0,41.0,7.0,104.0,69.0,161.0,233.0,6.0,12.0,160.0,40.0,20.0,28.0,134.0,86.0,46.0,5.06,10.23,23.31,4.0,7.0,22.0,361.0,266.0,266.0,12.0,4.23,3.38,3.38,39.44,39.44,37.29
NSH,2021,NSH,NSH,Team Level,all,79,0.49,0.49,0.49,287420.0,2349.51,242.27,166.68,523.46,79.7,1349.83,958.08,234.37,243.21,235.28,2347.0,973.0,1005.0,4325.0,250.0,165.0,38.0,575.0,81.0,1077.0,1172.0,2097.0,3070.0,356.0,886.0,2387.0,2362.0,518.0,744.0,2419.0,684.0,217.0,76.91,81.91,83.45,78.0,86.0,86.0,4336.54,3320.0,3327.14,353.0,36.98,36.09,36.09,243.16,243.7,238.32,2483.58,248.75,177.46,546.09,81.8,1418.73,992.17,238.6,249.15,238.98,2536.0,929.0,1114.0,4579.0,236.0,153.0,25.0,615.0,107.0,1116.0,1238.0,2300.0,3229.0,330.0,839.0,2286.0,1879.0,544.0,654.0,2536.0,702.0,227.0,79.11,85.25,84.39,68.0,85.0,83.0,4577.51,3465.0,3464.96,366.0,39.79,34.41,34.45,254.09,254.41,246.73
NSH,2021,NSH,NSH,Team Level,5on5,79,0.5,0.5,0.5,227804.0,1816.68,152.65,124.32,424.78,61.37,1044.15,762.73,148.54,153.58,149.46,1808.0,762.0,791.0,3361.0,156.0,127.0,26.0,464.0,66.0,831.0,926.0,1652.0,2414.0,319.0,811.0,1773.0,2230.0,427.0,591.0,1960.0,496.0,114.0,61.68,60.09,30.88,59.0,63.0,34.0,3372.54,2570.0,2577.14,296.0,25.74,25.27,25.27,153.11,153.65,151.34,1839.57,153.26,124.85,425.83,60.14,1045.09,763.84,149.48,153.66,149.86,1878.0,695.0,830.0,3403.0,147.0,101.0,15.0,483.0,77.0,789.0,976.0,1731.0,2426.0,297.0,767.0,1739.0,1741.0,451.0,534.0,1969.0,489.0,115.0,62.56,59.33,31.38,52.0,64.0,31.0,3401.51,2573.0,2572.96,318.0,25.83,22.15,22.19,156.89,157.21,154.78
