team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CBJ,2021,CBJ,CBJ,Team Level,other,79,0.54,0.5,0.5,9942.0,133.24,34.22,9.0,21.66,4.22,66.18,46.74,32.1,34.22,32.1,119.0,63.0,54.0,236.0,36.0,10.0,2.0,22.0,6.0,54.0,54.0,83.0,146.0,5.0,10.0,112.0,30.0,23.0,20.0,74.0,65.0,43.0,2.93,7.73,23.57,8.0,7.0,21.0,236.0,182.0,182.0,8.0,2.62,3.11,3.11,33.73,33.73,31.65,132.66,29.41,9.17,23.13,4.26,72.68,45.35,27.51,29.41,27.51,133.0,51.0,51.0,235.0,33.0,7.0,3.0,21.0,7.0,58.0,58.0,100.0,151.0,6.0,12.0,129.0,25.0,20.0,19.0,97.0,52.0,35.0,3.69,6.14,19.58,6.0,6.0,21.0,235.0,184.0,184.0,8.0,2.67,3.35,3.35,28.73,28.73,27.61
CBJ,2021,CBJ,CBJ,Team Level,all,79,0.45,0.48,0.47,287515.0,2381.4,229.24,161.91,534.28,77.1,1312.5,986.98,220.76,229.58,221.13,2371.0,931.0,1060.0,4362.0,249.0,170.0,41.0,575.0,91.0,961.0,1256.0,2122.0,3053.0,269.0,565.0,2178.0,1582.0,562.0,587.0,2429.0,666.0,207.0,72.64,80.25,76.35,85.0,81.0,83.0,4353.03,3302.0,3304.48,317.0,35.49,38.55,38.55,226.19,226.39,220.58,2685.7,278.34,189.77,591.67,85.97,1483.02,1072.29,265.72,280.77,268.05,2780.0,922.0,1045.0,4747.0,286.0,200.0,31.0,622.0,76.0,1121.0,1397.0,2494.0,3416.0,252.0,537.0,2315.0,1375.0,557.0,590.0,2614.0,832.0,256.0,81.05,102.45,94.85,94.0,111.0,81.0,4814.54,3702.0,3739.6,295.0,41.57,48.05,48.05,271.8,274.12,266.83
CBJ,2021,CBJ,CBJ,Team Level,5on5,79,0.45,0.48,0.47,235693.0,1884.79,156.68,124.15,440.6,61.13,1045.08,789.35,151.91,157.02,152.29,1880.0,737.0,865.0,3482.0,173.0,134.0,35.0,483.0,74.0,742.0,1011.0,1707.0,2444.0,245.0,517.0,1714.0,1473.0,474.0,516.0,1987.0,504.0,126.0,59.42,60.64,36.62,70.0,61.0,42.0,3473.03,2617.0,2619.48,300.0,25.57,30.18,30.18,152.08,152.28,150.09,2169.47,192.6,148.93,496.01,69.24,1203.69,885.6,185.78,195.02,188.11,2262.0,735.0,843.0,3840.0,206.0,155.0,22.0,531.0,56.0,916.0,1133.0,2056.0,2791.0,226.0,477.0,1779.0,1269.0,453.0,501.0,2180.0,671.0,146.0,68.78,82.71,41.11,84.0,91.0,31.0,3907.54,2997.0,3034.6,262.0,30.7,34.69,34.89,188.35,190.67,187.38
CBJ,2021,CBJ,CBJ,Team Level,4on5,79,0.13,0.18,0.2,21045.0,79.18,7.41,3.98,11.09,2.47,24.82,57.22,7.22,7.41,7.22,87.0,20.0,14.0,121.0,7.0,1.0,0.0,13.0,2.0,15.0,69.0,80.0,100.0,12.0,24.0,172.0,65.0,51.0,8.0,78.0,21.0,8.0,2.54,2.6,2.26,1.0,3.0,3.0,121.0,107.0,107.0,7.0,0.93,0.3,0.3,8.05,8.05,7.87,315.18,48.59,28.07,63.76,10.53,186.29,94.77,44.9,48.59,44.9,317.0,115.0,138.0,570.0,42.0,35.0,6.0,67.0,13.0,137.0,138.0,275.0,390.0,15.0,30.0,227.0,23.0,18.0,46.0,281.0,86.0,65.0,6.77,10.58,31.24,4.0,12.0,26.0,570.0,432.0,432.0,4.0,7.39,9.35,9.15,46.82,46.82,43.97
CBJ,2021,CBJ,CBJ,Team Level,5on4,79,0.8,0.84,0.82,20835.0,284.19,30.91,24.78,60.94,9.28,176.41,93.67,29.52,30.91,29.52,285.0,111.0,127.0,523.0,33.0,25.0,4.0,57.0,9.0,150.0,122.0,252.0,363.0,7.0,14.0,180.0,14.0,14.0,43.0,290.0,76.0,30.0,7.74,9.27,13.9,6.0,10.0,17.0,523.0,396.0,396.0,2.0,6.38,4.96,4.96,32.34,32.34,30.97,68.39,7.74,3.6,8.77,1.94,20.37,46.58,7.52,7.74,7.52,68.0,21.0,13.0,102.0,5.0,3.0,0.0,3.0,0.0,10.0,68.0,63.0,84.0,5.0,18.0,180.0,58.0,66.0,24.0,56.0,23.0,10.0,1.8,3.01,2.92,0.0,2.0,3.0,102.0,89.0,89.0,21.0,0.82,0.66,0.66,7.89,7.89,7.87
FLA,2021,FLA,FLA,Team Level,other,79,0.58,0.59,0.59,11021.0,176.74,43.55,12.55,31.23,6.15,89.58,58.92,39.96,43.55,39.96,176.0,66.0,74.0,316.0,45.0,15.0,3.0,24.0,4.0,87.0,67.0,131.0,197.0,10.0,23.0,147.0,41.0,35.0,40.0,113.0,66.0,63.0,4.64,8.03,30.89,8.0,9.0,28.0,316.0,242.0,242.0,21.0,3.66,4.75,4.75,42.47,42.47,40.01,125.75,31.51,8.9,21.27,4.06,58.55,40.71,26.15,31.51,26.15,131.0,34.0,52.0,217.0,23.0,14.0,3.0,17.0,4.0,43.0,64.0,108.0,142.0,8.0,21.0,120.0,50.0,43.0,39.0,73.0,40.0,52.0,3.08,5.31,23.12,5.0,4.0,14.0,217.0,165.0,165.0,13.0,2.62,4.65,4.65,29.49,29.49,25.27
FLA,2021,FLA,FLA,Team Level,all,79,0.56,0.56,0.55,288253.0,2862.73,309.89,205.1,636.09,93.82,1554.25,1126.85,294.13,311.76,296.0,2972.0,954.0,1278.0,5204.0,329.0,260.0,54.0,621.0,112.0,1260.0,1344.0,2643.0,3597.0,309.0,687.0,2289.0,1995.0,775.0,926.0,2664.0,950.0,312.0,83.56,116.89,109.44,99.0,120.0,110.0,5289.5,3926.0,3966.71,418.0,45.22,60.12,60.12,294.98,297.0,288.4,2307.35,248.09,164.68,518.4,78.89,1245.36,912.6,232.65,248.3,232.79,2413.0,755.0,963.0,4131.0,228.0,230.0,30.0,515.0,80.0,937.0,1178.0,2185.0,2940.0,307.0,680.0,2446.0,2119.0,662.0,834.0,2205.0,689.0,274.0,66.87,85.94,95.29,68.0,89.0,71.0,4091.26,3168.0,3154.42,410.0,36.75,49.87,49.87,234.96,234.95,226.25
FLA,2021,FLA,FLA,Team Level,5on5,79,0.57,0.57,0.56,230787.0,2276.07,213.2,156.82,527.11,74.22,1236.67,911.97,203.88,215.06,205.75,2359.0,761.0,1036.0,4156.0,212.0,205.0,35.0,540.0,98.0,985.0,1080.0,2147.0,2908.0,276.0,618.0,1740.0,1841.0,625.0,762.0,2193.0,745.0,182.0,69.4,91.52,52.28,80.0,88.0,44.0,4241.5,3120.0,3160.71,351.0,32.57,45.57,45.57,200.2,202.21,198.25,1751.96,163.68,120.38,412.31,59.84,946.0,710.78,157.46,163.89,157.59,1826.0,587.0,774.0,3187.0,149.0,174.0,17.0,426.0,66.0,691.0,907.0,1677.0,2264.0,282.0,625.0,1931.0,1954.0,548.0,697.0,1726.0,524.0,163.0,53.79,64.88,45.02,57.0,66.0,26.0,3147.26,2413.0,2399.42,367.0,25.07,35.26,35.26,153.49,153.48,151.28
FLA,2021,FLA,FLA,Team Level,4on5,79,0.19,0.16,0.17,23036.0,75.82,10.69,4.51,10.38,2.42,24.32,49.69,10.63,10.69,10.63,90.0,12.0,18.0,120.0,12.0,3.0,1.0,7.0,3.0,16.0,61.0,78.0,90.0,4.0,8.0,168.0,86.0,97.0,45.0,55.0,28.0,19.0,1.59,3.65,5.45,2.0,6.0,4.0,120.0,102.0,102.0,38.0,1.03,0.03,0.03,11.69,11.69,11.62,367.91,46.04,32.25,77.32,13.15,221.56,116.68,42.23,46.04,42.23,388.0,119.0,125.0,632.0,48.0,40.0,10.0,68.0,10.0,190.0,151.0,340.0,459.0,11.0,22.0,235.0,37.0,16.0,65.0,353.0,102.0,52.0,8.32,12.67,25.05,5.0,15.0,28.0,632.0,507.0,507.0,5.0,8.33,9.45,9.45,44.93,44.93,42.67
FLA,2021,FLA,FLA,Team Level,5on4,79,0.86,0.87,0.85,23409.0,334.08,42.45,31.22,67.37,11.03,203.68,106.27,39.67,42.45,39.67,347.0,115.0,150.0,612.0,60.0,37.0,15.0,50.0,7.0,172.0,136.0,287.0,402.0,19.0,38.0,234.0,27.0,18.0,79.0,303.0,111.0,48.0,7.94,13.69,20.81,9.0,17.0,34.0,612.0,462.0,462.0,8.0,7.96,9.78,9.78,40.63,40.63,38.53,61.73,6.85,3.14,7.49,1.83,19.25,44.43,6.81,6.85,6.81,68.0,15.0,12.0,95.0,8.0,2.0,0.0,4.0,0.0,13.0,56.0,60.0,75.0,6.0,12.0,160.0,78.0,55.0,33.0,53.0,23.0,7.0,1.68,3.08,2.09,1.0,4.0,3.0,95.0,83.0,83.0,25.0,0.73,0.52,0.52,7.06,7.06,7.04
